rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
511,TF,Timbercreek Financial Corp.,547.00M,6.68,1.06%,54.82M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TF.TO,Financial Services,Mortgage Finance,Timbercreek Financial Corp.,EQUITY,success
512,NOA,North American Construction Group Ltd.,546.65M,20.1,1.26%,1.28B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,NOA.TO,Energy,Oil & Gas Equipment & Services,North American Construction Group Ltd.,EQUITY,success
513,CPKR,Canada Packers Inc.,540.58M,18.39,1.07%,1.81B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CPKR.TO,Consumer Defensive,Farm Products,,EQUITY,success
514,TCS,Tecsys Inc.,538.29M,36.88,-0.86%,189.65M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TCS.TO,Technology,Software - Application,Tecsys Inc.,EQUITY,success
515,DTOL,D2L Inc.,530.79M,9.8,3.27%,294.98M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,DTOL.TO,Technology,Software - Application,D2L Inc.,EQUITY,success
516,GO.U,GO Residential Real Estate Investment Trust,528.38M,10.38,2.27%,161.80M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GO-U.TO,Real Estate,REIT - Residential,GO Residential Real Estate Investment Trust,EQUITY,success
517,ACQ,AutoCanada Inc.,522.02M,22.78,0.44%,4.90B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ACQ.TO,Consumer Cyclical,Auto & Truck Dealerships,AutoCanada Inc.,EQUITY,success
518,ANRG,Anaergia Inc.,519.78M,3.16,4.29%,180.19M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ANRG.TO,Industrials,Waste Management,Anaergia Inc.,EQUITY,success
519,FTG,Firan Technology Group Corporation,518.07M,20.98,1.94%,195.43M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,FTG.TO,Industrials,Aerospace & Defense,Firan Technology Group Corporation,EQUITY,success
520,BPF.UN,Boston Pizza Royalties Income Fund,513.88M,24.41,1.08%,51.89M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,BPF-UN.TO,Consumer Cyclical,Restaurants,Boston Pizza Royalties Income Fund,EQUITY,success
521,GSY,goeasy Ltd.,513.56M,32.16,0.41%,506.32M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,GSY.TO,Financial Services,Credit Services,goeasy Ltd.,EQUITY,success
